name,place,sum_views,pref,geometry,address
桐谷美玲,市原市,717784.0,千葉県,POINT (140.1156996 35.497775),"市原市, 千葉県, 日本"
桐谷美玲,高槻市,717784.0,大阪府,POINT (135.6012398 34.8812905),"高槻市, 大阪府, 日本"
桂歌丸,四日市市,717297.0,三重県,POINT (136.624845 34.9648428),"四日市市, 三重県, 日本"
桂歌丸,つくばみらい市,717297.0,茨城県,POINT (140.0369949 35.9630137),"つくばみらい市, 茨城県, 日本"
久保田悠来,平塚市,715203.0,神奈川県,POINT (139.318278 35.357674),"平塚市, 神奈川県, 日本"
坂口杏里,余市町,707083.0,北海道,POINT (140.7835618 43.1954132),"余市町, 余市郡, 後志総合振興局, 北海道, 日本"
渡邊雄太,三木町,700143.0,香川県,POINT (134.1345055 34.268846),"三木町, 木田郡, 香川県, 日本"
ダイアン,愛荘町,699729.0,滋賀県,POINT (136.263749 35.1680275),"愛荘町, 愛知郡, 滋賀県, 529-1202, 日本"
林原めぐみ,北区,697753.0,東京都,POINT (139.736687 35.755838),"北区, 東京都, 日本"
聖徳太子,明日香村,694191.0,奈良県,POINT (135.8215426 34.4711417),"明日香村, 高市郡, 奈良県, 日本"
江藤愛,日田市,688576.0,大分県,POINT (130.9411316 33.3211655),"日田市, 大分県, 日本"
カズレーザー,加須市,687374.0,埼玉県,POINT (139.603225 36.1308572),"加須市, 埼玉県, 日本"
望月理恵,明石市,686919.0,兵庫県,POINT (134.9476925 34.6832635),"明石市, 兵庫県, 日本"
糸井嘉男,与謝野町,685615.0,京都府,POINT (135.107169 35.525111),"与謝野町, 与謝郡, 京都府, 日本"
小松未可子,桑名市,679436.0,三重県,POINT (136.6843004 35.0666099),"桑名市, 三重県, 日本"
松坂大輔,稚内市,678157.0,北海道,POINT (141.6730309 45.4158108),"稚内市, 宗谷総合振興局, 北海道, 日本"
藤本タツキ,にかほ市,676706.0,秋田県,POINT (139.9076665 39.2028587),"にかほ市, 秋田県, 日本"
根尾昂,飛騨市,673541.0,岐阜県,POINT (137.1859372 36.2383204),"飛騨市, 岐阜県, 日本"
内田篤人,函南町,673067.0,静岡県,POINT (138.998583 35.117085),"函南町, 田方郡, 静岡県, 日本"
清原和博,岸和田市,672498.0,大阪府,POINT (135.385237 34.4644),"岸和田市, 大阪府, 日本"
細谷佳正,尾道市,669767.0,広島県,POINT (133.2051549 34.4088519),"尾道市, 広島県, 日本"
華原朋美,浦安市,666008.0,千葉県,POINT (139.9018495 35.6530518),"浦安市, 千葉県, 日本"
松原千明,呉市,659836.0,広島県,POINT (132.5652498 34.2484488),"呉市, 広島県, 日本"
三遊亭圓楽 (5代目),台東区,656674.0,東京都,POINT (139.790859 35.71745),"台東区, 東京都, 日本"
やす子,宇部市,656512.0,山口県,POINT (131.2472243 33.9518498),"宇部市, 山口県, 日本"
中島裕翔,町田市,656160.0,東京都,POINT (139.442839 35.564193),"町田市, 東京都, 日本"
大島優子,壬生町,655413.0,栃木県,POINT (139.804607 36.4273531),"壬生町, 下都賀郡, 栃木県, 日本"
YUKI (歌手),函館市,654098.0,北海道,POINT (140.729008 41.768793),"函館市, 渡島総合振興局, 北海道, 日本"
霧島れいか,新潟市,654076.0,新潟県,POINT (139.0365006 37.9160769),"新潟市, 新潟県, 日本"
福地桃子,鹿屋市,653434.0,鹿児島県,POINT (130.8525167 31.3780472),"鹿屋市, 鹿児島県, 893-8501, 日本"
田村真子,松阪市,646245.0,三重県,POINT (136.5412491 34.5868422),"松阪市, 三重県, 日本"
手塚治虫,石岡市,645951.0,茨城県,POINT (140.2874309 36.1905988),"石岡市, 茨城県, 日本"
手塚治虫,新座市,645951.0,埼玉県,POINT (139.5657258 35.7931194),"新座市, 埼玉県, 日本"
上戸彩,石垣市,643247.0,沖縄県,POINT (124.1577569 24.3382831),"石垣市, 沖縄県, 907-8501, 日本"
氷室京介,羽咋市,636963.0,石川県,POINT (136.7782938 36.8948225),"羽咋市, 石川県, 日本"
戸田恵子,春日井市,630768.0,愛知県,POINT (137.007459 35.273804),"春日井市, 愛知県, 日本"
渡瀬恒彦,淡路市,625472.0,兵庫県,POINT (134.9071385 34.5014505),"淡路市, 兵庫県, 日本"
渡瀬恒彦,安来市,625472.0,島根県,POINT (133.250942 35.431337),"安来市, 島根県, 日本"
宗佑磨,武蔵野市,621020.0,東京都,POINT (139.563534 35.712898),"武蔵野市, 東京都, 日本"
竹内まりや,出雲市,619876.0,島根県,POINT (132.7548827 35.3668891),"出雲市, 島根県, 日本"
永作博美,行方市,617890.0,茨城県,POINT (140.4888826 35.9901895),"行方市, 茨城県, 日本"
ぱーてぃーちゃん,大分市,616216.0,大分県,POINT (131.6096524 33.2393864),"大分市, 大分県, 日本"
堀江貴文,八女市,616183.0,福岡県,POINT (130.5579706 33.2116721),"八女市, 福岡県, 日本"
菅義偉,湯沢市,612416.0,秋田県,POINT (140.4957467 39.1643018),"湯沢市, 秋田県, 日本"
明治天皇,八千代市,611856.0,千葉県,POINT (140.0995131 35.722537),"八千代市, 千葉県, 日本"
伊原六花,大阪狭山市,611478.0,大阪府,POINT (135.549966 34.503879),"大阪狭山市, 大阪府, 日本"
桜井和寿,鶴岡市,608526.0,山形県,POINT (139.8266292 38.7272187),"鶴岡市, 山形県, 日本"
妻夫木聡,柳川市,607124.0,福岡県,POINT (130.4058091 33.1630969),"柳川市, 福岡県, 日本"
西川貴教,野洲市,606537.0,滋賀県,POINT (136.0159278 35.0932388),"野洲市, 滋賀県, 520-2332, 日本"
上原浩治,寝屋川市,605858.0,大阪府,POINT (135.633907 34.76751),"寝屋川市, 大阪府, 日本"
